date,Exports Billions of US $, % of GDP, Change
12/31/1960,1.652701651,4.4632,
12/31/1961,1.688401687,4.3036,-0.1859
12/31/1962,1.757701756,4.169,-0.5798
12/31/1963,2.072702071,4.2805,8.4041
12/31/1964,2.104202103,3.7256,-6.512
12/31/1965,1.969760605,3.3075,-13.8642
12/31/1966,1.9,4.1426,25.8404
12/31/1967,2.022666665,4.0344,4.9561
12/31/1968,2.143999998,4.0388,3.138
12/31/1969,2.170666665,3.7138,-1.938
12/31/1970,2.361333331,3.7828,31.5578
12/31/1971,2.469914347,3.6672,1.052
12/31/1972,2.878172458,4.0275,8.2379
12/31/1973,3.59913519,4.2088,4.9635
12/31/1974,4.808415668,4.8313,8.1998
12/31/1975,5.560820024,5.6471,16.4488
12/31/1976,6.868196413,6.6865,19.8188
12/31/1977,7.75470132,6.3832,-3.5674
12/31/1978,8.670273695,6.3148,7.803
12/31/1979,10.32638304,6.7496,11.1542
12/31/1980,11.43953983,6.1396,5.2373
12/31/1981,11.48569944,5.936,-0.8169
12/31/1982,12.0094182,5.9833,6.0205
12/31/1983,12.74133576,5.8376,-0.9149
12/31/1984,13.33071606,6.2834,7.2979
12/31/1985,12.21744785,5.2546,-6.3149
12/31/1986,12.93786415,5.1962,5.4324
12/31/1987,15.63866291,5.6046,12.7273
12/31/1988,17.89983882,6.0352,7.4731
12/31/1989,20.77069653,7.0161,11.9791
12/31/1990,22.63977491,7.0534,11.1044
12/31/1991,22.94339807,8.4942,9.6623
12/31/1992,25.48602873,8.8429,4.8932
12/31/1993,27.46654103,9.8342,13.7796
12/31/1994,32.36128761,9.8881,13.0437
12/31/1995,39.06885492,10.844,31.3961
12/31/1996,40.80300404,10.3852,6.2897
12/31/1997,44.45922604,10.6907,-2.3282
12/31/1998,46.42646521,11.0185,13.8843
12/31/1999,52.54441065,11.4521,17.9995
12/31/2000,60.87839687,12.9972,18.1535
12/31/2001,60.9635255,12.5584,4.3095
12/31/2002,73.452726,14.2644,21.085
12/31/2003,90.8383657,14.9479,9.5822
12/31/2004,126.6477194,17.8591,27.1764
12/31/2005,160.8378356,19.6052,26.0851
12/31/2006,199.9739224,21.2679,20.3938
12/31/2007,253.0775281,20.7997,5.8665
12/31/2008,288.9020469,24.0974,14.7781
12/31/2009,273.7521249,20.4005,-4.8342
12/31/2010,375.3535103,22.4009,19.4781
12/31/2011,447.3844176,24.5404,15.493
12/31/2012,448.4004746,24.5344,6.8055
12/31/2013,472.1802681,25.4309,7.7924
12/31/2014,468.3458133,22.968,1.7776
12/31/2015,416.7879383,19.8132,-5.6471
12/31/2016,439.6425789,19.1582,4.9843
12/31/2017,498.2588083,18.7918,4.5647
12/31/2018,538.6351858,19.9278,11.9319
12/31/2019,529.2450605,18.6643,-3.385
12/31/2020,499.728526,18.7052,-9.1353
12/31/2021,677.7692544,21.5144,29.2939
12/31/2022,759.9336463,22.4494,11.5028
