date,Output Billions of US $, % of GDP, 
12/31/1960,5.461951594,14.7501,
12/31/1961,6.023684034,15.3538,
12/31/1962,6.688201558,15.8633,
12/31/1963,7.627609426,15.7524,
12/31/1964,8.387740982,14.8507,
12/31/1965,8.939724291,15.0109,
12/31/1966,6.652323388,14.504,
12/31/1967,6.633785987,13.2319,
12/31/1968,7.178633657,13.5228,
12/31/1969,8.268328999,14.1465,
12/31/1970,9.024134403,14.4565,
12/31/1971,10.09078107,14.9823,
12/31/1972,10.79276413,15.1025,
12/31/1973,12.84036171,15.0153,
12/31/1974,16.26841726,16.3459,
12/31/1975,15.59660073,15.8385,
12/31/1976,16.70785978,16.2659,
12/31/1977,19.53610825,16.0809,
12/31/1978,23.47346332,17.0964,
12/31/1979,27.3121228,17.852,
12/31/1980,31.21392202,16.7524,
12/31/1981,32.44936192,16.7704,
12/31/1982,32.85714106,16.37,
12/31/1983,36.37219788,16.6645,
12/31/1984,35.44688169,16.7078,
12/31/1985,38.17377802,16.418,
12/31/1986,40.3894717,16.2216,
12/31/1987,45.23008653,16.2095,
12/31/1988,47.75549032,16.1015,
12/31/1989,50.039533,16.9028,
12/31/1990,53.27480347,16.5976,
12/31/1991,42.3424161,15.6763,
12/31/1992,45.53917967,15.8008,
12/31/1993,44.45189071,15.9157,
12/31/1994,54.86493089,16.7641,
12/31/1995,64.36742738,17.8659,
12/31/1996,69.1354706,17.5963,
12/31/1997,68.69541069,16.5186,
12/31/1998,66.23354536,15.7193,
12/31/1999,69.6514019,15.1805,
12/31/2000,74.60136947,15.927,
12/31/2001,74.30655941,15.307,
12/31/2002,80.11765954,15.5587,
12/31/2003,94.72443728,15.5874,
12/31/2004,112.2386781,15.8272,
12/31/2005,131.0396921,15.973,
12/31/2006,162.6993116,17.3037,
12/31/2007,205.1973431,16.8646,
12/31/2008,204.9951747,17.0987,
12/31/2009,230.0476144,17.1436,
12/31/2010,285.3562184,17.0299,
12/31/2011,294.2284866,16.1393,
12/31/2012,289.0760288,15.8169,
12/31/2013,283.2061509,15.253,
12/31/2014,307.206028,15.0656,
12/31/2015,327.8201491,15.5839,
12/31/2016,347.9425462,15.1622,
12/31/2017,398.2047353,15.0182,
12/31/2018,402.2373033,14.8815,
12/31/2019,381.5537192,13.4558,
12/31/2020,377.3518248,14.1246,
12/31/2021,455.9138078,14.472,
12/31/2022,450.8618765,13.3191,
